"Order Number ","Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"16203","Printed Gradient Scarf","60011010313150","15221735850276","warehouse","1","16","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/eCXynKAqhNB7bxC0q5WzivF46EmLW1jWUJImgtok_6111fb03-4bde-4928-a682-dffce3317da1.jpg?v=1706296191"
"16203","Light Gradient Cotton Scarf","60011010212149","15221735883044","warehouse","1","17","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/diUPSU7CQCT7SxxByhJuzqgw1mbgzaElWnDAmK0N_2400264e-21ca-4965-9711-c5921d9f0c16.jpg?v=1707221770"
"16205","Basic Lycra Scarf","10011030975214","15221923086628","warehouse","1","DarkNavy","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_da85d03c-e451-4f4f-ae94-e5e87fa84fe8.jpg?v=1713106243"
"16206","Plain Silk Scarf","10011040096012","15222007922980","warehouse","1","LinenBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13_39f3487e-c044-42ab-a2bc-116ed6585e1f.jpg?v=1719657566"
"16206","Healthy Hair Underscarf","10022323800200","15222007988516","warehouse","1","OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/AEmAVN1nJBhVBBPZuh2OlHMk0TnZA7ti9rLLAglU_af0ffd94-a9b9-4cad-a8f3-df5342c5d9c5.jpg?v=1706791911"
"16206","Portable Isdal","10088484141212","15222008021284","warehouse","1","Blue / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/4_9c2d1a58-7b2c-4b0c-980a-b719f039d5f2.jpg?v=1709746341"
"16207","Palestine Chiffon Scarf","10011001013527","15222092988708","warehouse","2","2","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_d794b296-5a99-4652-8655-c931227c3230.jpg?v=1721208040"
"16208","Spade Chiffon Scarf","10011001014782","15222346416420","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_6f029f50-1ddf-4550-a3c2-d46dced7be7e.jpg?v=1710674402"
"16208","Mandala Chiffon Scarf","10011001014941","15222346449188","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_effd793f-726b-4117-954e-855516c4a505.jpg?v=1710675146"
"16208","Starry Night Chiffon Scarf","10011001014856","15222346481956","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_f0e4f686-d2b9-4534-8b3d-95fb53ec3f5d.jpg?v=1710678759"
"16208","Joyous Chiffon Scarf","10011001015164","15222346514724","warehouse","1","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_b062fb03-a314-4b2c-a12f-a5363efb60a6.jpg?v=1717405272"
"16208","Joyous Chiffon Scarf","10011001015163","15222346645796","warehouse","1","2","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_c1aed184-345e-44d8-89d7-78969815e927.jpg?v=1717405272"
