"Order Number ","Product Name"," Item SKU ","Qty ","Variant","Product Image"," Price"
"Lvs50371","Cotton Sleeves","10455250621700","1","Free size / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/WGx3EQa3LKf53JFfe2K6MXW4m1Kmh5jKd2Y4Dfoj.jpg?v=1737469909",""
"Lvs50371","Abaya Midline","57096261200204","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_33c03977-66c6-4c5b-9335-87be95de0106.jpg?v=1737469577",""
"Lvs50268","Pin Box","81444340021700","2","2","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/lT4VNBORlJTum959IcbnqKGWgIwfSh8sWlmEL2bF_abc0fc35-bf12-4d02-848a-7aae430b9b76.jpg?v=1737469891",""
"Lvs50268","Hijab Satin Scrunchie","12422020121700","1","Free size / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_28193c81-e8ee-439a-9102-d2a9c1959f44.jpg?v=1737469853",""
"Lvs50268","Hijab Satin Scrunchie","12422020112100","1","Free size / Silver","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_2789bd28-1f50-404e-bc92-791dca54b0e6.jpg?v=1737469853",""
"Lvs50268","Hijab Satin Scrunchie","12422020100400","1","Free size / Beige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_23256220-c158-421c-83f6-f94fb0a7f9a4.jpg?v=1737469853",""
"Lvs50268","No Thread Underscarf with Tie-Back","10022323108200","3","Maroon","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_9209823c-1252-495b-a6c0-d41f1936f622.jpg?v=1737468630",""
"Lvs50268","No Thread Underscarf with Tie-Back","10422323121700","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/12_98af5df0-c1b9-4699-b107-de8b5bdee678.jpg?v=1737468631",""
"Lvs50268","No Thread Underscarf with Tie-Back","10022323103000","1","Rose","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_0726e8ad-9b51-4b6b-9492-d07f45e46f12.jpg?v=1737468631",""
"Lvs50268","No Thread Underscarf with Tie-Back","10422323121700","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/12_98af5df0-c1b9-4699-b107-de8b5bdee678.jpg?v=1737468631",""
"Lvs50312","Matte Magnet Pin With Logo","60444142309700","1","6","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_b6acd4b1-2e41-4ad5-8596-0c2ab2cd5151.jpg?v=1737469893",""
"Lvs50312","Matte Magnet Pin","60444142400100","1","4","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_42c14fb6-adba-4e84-9092-4f6bd7d55fb4.jpg?v=1737469896",""
"Lvs50312","Scarf Straightener","889","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_0d99293c-3c5c-46c4-b8db-d0e737e20f56.jpg?v=1737469543",""
"Lvs50312","Matte Magnet Pin","60444142423200","1","9","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_74e5718e-ad62-4022-8bab-d2e9103c3b66.jpg?v=1737469896",""
"Lvs50419","Speckle Winter Shawl","60577071421700","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/20_4442ba0e-c0c3-44e2-a418-5c9d7bd4bfc9.jpg?v=1737468181",""
"Lvs50419","Sophistication Winter Shawl","60577071401400","1","Brown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_e5d2c76b-1e18-42cc-9682-8994386b7bab.jpg?v=1737468143",""
"Lvs50420","Vital Chiffon Scarf (Big Size)","10512002300198","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_7f545443-8ccf-4685-910b-41a1afc4ddb7.jpg?v=1737561440",""
"Lvs50420","Full Neck Underscarf","10422424321700","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11_a2fffaa3-48a9-4b26-a062-3229543f4706.jpg?v=1737468638",""
"Lvs50420","Full Neck Underscarf","10422424300100","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_b858b85e-dbb9-481b-bac7-4246177c4ae3.jpg?v=1737468637",""
"Lvs50421","Full Neck Underscarf","10422424300200","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_defa8927-f7cf-43c6-9f25-9491332d680d.jpg?v=1737468637",""
